coucher 107972,NOUN,HAS_EXAMPLE
aspects 107951,NOUN,PLURAL
proches 107888,ADJECTIVE
pleurer 107587,VERB
canapé 107485,NOUN
croyait 107317,VERB,3PS,INFLECTED_FORM
humains 106975,ADJECTIVE
urgence 107108,NOUN,HAS_EXAMPLE
quelque 106213,DETERMINER,HAS_EXAMPLE
horreur 106731,NOUN,HAS_EXAMPLE
artiste 106016,NOUN
traduit 105989,PARTICIPLE
mettent 105884,VERB,INFLECTED_FORM,SUBJ
ennemis 105299,NOUN,PLURAL
poésie 104763,NOUN
glisser 104489,VERB,HAS_EXAMPLE
inutile 104392,ADJECTIVE
morceau 104121,NOUN,HAS_EXAMPLE
sachant 104031,NOUN
relever 103995,VERB
niveaux 103638,NOUN,PLURAL
avancer 103265,VERB,HAS_EXAMPLE
prêtre 102780,NOUN
rendait 102647,VERB,3PS,INFLECTED_FORM
église 101574,NOUN
décrit 101447,PARTICIPLE
central 101211,ADJECTIVE
mettant 101315,PARTICIPLE
feuille 100693,NOUN
écoles 100513,NOUN,PLURAL
élevé 100312,ADJECTIVE,HAS_EXAMPLE
décret 99801,NOUN
vallée 99881,NOUN
oiseaux 99237,NOUN,PLURAL
établi 99451,ADJECTIVE
essence 99169,NOUN
marches 98893,NOUN,PLURAL
obligé 98458,ADJECTIVE
pousser 98363,VERB,HAS_EXAMPLE
crédit 98031,NOUN,HAS_EXAMPLE
dollars 97674,NOUN,PLURAL
plafond 97661,NOUN
locales 97754,ADJECTIVE
mettait 97270,VERB,3PS,INFLECTED_FORM
revenus 96975,NOUN,PLURAL
fatigue 96625,NOUN,HAS_EXAMPLE
privée 96505,ADJECTIVE
témoin 96854,NOUN
médias 96077,NOUN,PLURAL
traiter 95348,VERB,HAS_EXAMPLE
ouverte 95450,ADJECTIVE
inconnu 94899,ADJECTIVE,HAS_EXAMPLE
adultes 94103,ADJECTIVE
couteau 94389,NOUN
comprit 94073,VERB,3PS,INFLECTED_FORM
épouse 92341,NOUN
passent 91824,VERB,INFLECTED_FORM,SUBJ
partage 91490,NOUN,HAS_EXAMPLE
cellule 91591,NOUN
décida 91266,VERB,3PS,INFLECTED_FORM
attendu 90936,ADJECTIVE,HAS_EXAMPLE
prénom 90873,NOUN,HAS_EXAMPLE
étapes 90875,NOUN,PLURAL
croyais 90929,VERB
élève 90795,NOUN
visible 90754,ADJECTIVE
soupira 90781,VERB,3PS,INFLECTED_FORM
fournir 90610,VERB,HAS_EXAMPLE
manteau 90505,NOUN,HAS_EXAMPLE
phrases 90038,NOUN,PLURAL
erreurs 90068,NOUN,PLURAL
prière 90152,NOUN
visiter 89828,VERB,HAS_EXAMPLE
rejoint 89942,PARTICIPLE
liquide 89622,ADJECTIVE
fidèle 89608,ADJECTIVE,HAS_EXAMPLE
sentais 89912,VERB
portent 89449,VERB,INFLECTED_FORM,SUBJ
muscles 89052,NOUN,PLURAL
dizaine 89358,NOUN
tâches 89046,NOUN,PLURAL
intense 89044,ADJECTIVE
prouver 89200,VERB
moyenne 88549,ADJECTIVE
réduit 88458,NOUN
papiers 88136,NOUN,PLURAL
pourrez 87942,VERB
reçoit 87801,VERB,3PS,INFLECTED_FORM
retirer 87399,VERB,HAS_EXAMPLE
plateau 87190,NOUN
monnaie 86975,NOUN,HAS_EXAMPLE
figures 86746,NOUN,PLURAL
charges 86734,NOUN,PLURAL
écrits 86907,NOUN,PLURAL
chapeau 85339,INTERJECTION,HAS_EXAMPLE
sagesse 85290,NOUN
remplir 85011,VERB,HAS_EXAMPLE
occupé 84979,ADJECTIVE,HAS_EXAMPLE
curieux 84666,ADJECTIVE,HAS_EXAMPLE
observe 84571,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
directe 84507,ADJECTIVE
décès 84656,NOUN,HAS_EXAMPLE
exercer 84051,VERB,HAS_EXAMPLE
parlant 84019,ADJECTIVE,HAS_EXAMPLE
désert 83743,ADJECTIVE
chagrin 83521,ADJECTIVE
restée 83226,PARTICIPLE
absolue 82977,ADJECTIVE
chanson 82134,NOUN
écoute 82087,NOUN
attirer 82027,VERB
passée 81944,PARTICIPLE
costume 81483,NOUN
chances 81234,NOUN,PLURAL
frapper 80843,VERB,HAS_EXAMPLE
faisais 80744,VERB
confort 80669,NOUN
refusé 80701,PARTICIPLE
meurtre 80510,NOUN
magasin 80051,NOUN,HAS_EXAMPLE
atelier 79987,NOUN
station 79874,NOUN
refuser 79632,VERB
mépris 79672,NOUN
preuves 79803,NOUN,PLURAL
chemins 79486,NOUN,PLURAL
reposer 79559,VERB
pauvres 79164,ADJECTIVE
dirigea 79090,VERB,3PS,INFLECTED_FORM
voyages 78963,NOUN,PLURAL
annonce 78781,NOUN
affirme 78802,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
désirs 78758,NOUN,PLURAL
maximum 78470,NOUN
utilise 78798,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
importe 78174,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
ramener 77668,VERB,HAS_EXAMPLE
tourné 77726,PARTICIPLE
assuré 77595,ADJECTIVE
visites 77434,NOUN,PLURAL
positif 77280,ADJECTIVE
renvoie 76476,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
symbole 76610,NOUN
frappé 76326,ADJECTIVE
ménage 76198,NOUN,HAS_EXAMPLE
récits 76329,NOUN,PLURAL
automne 76348,NOUN
évoque 76121,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
conclut 76067,VERB,3PS,FORM_OF,INFLECTED_FORM
estomac 75873,NOUN
visages 75849,NOUN,PLURAL
comité 75609,NOUN
poussé 75661,NOUN
cuisses 75407,NOUN,PLURAL
fondée 75466,PARTICIPLE
laissez 75332,VERB,FORM_OF,IMP,INFLECTED_FORM
salaire 75314,NOUN
manquer 74961,VERB,HAS_EXAMPLE,INF
panique 75071,ADJECTIVE,HAS_EXAMPLE
durable 74859,ADJECTIVE,HAS_EXAMPLE
nerveux 74833,ADJECTIVE,HAS_EXAMPLE
chiffre 74805,NOUN
terreur 74822,NOUN,HAS_EXAMPLE
guerres 74348,NOUN,PLURAL
nourrir 74399,VERB
voisins 74268,NOUN,PLURAL
débats 74065,NOUN,PLURAL
misère 74144,INTERJECTION
naître 73675,VERB
tombée 73734,NOUN
voisine 73889,ADJECTIVE
centres 73627,NOUN,PLURAL
parking 73452,NOUN
piscine 73308,NOUN
devenus 73436,PARTICIPLE
apporte 73231,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
meubles 73256,NOUN,PLURAL
touché 72625,NOUN
liaison 72551,NOUN
facteur 72067,NOUN
scènes 72002,NOUN,PLURAL
régler 72216,VERB,HAS_EXAMPLE
sauvage 71583,ADJECTIVE,HAS_EXAMPLE
colonel 71385,NOUN
lâcher 71259,NOUN
manqué 71627,ADJECTIVE,HAS_EXAMPLE
mérite 71000,NOUN
faibles 70358,ADJECTIVE
façade 70314,NOUN,HAS_EXAMPLE
colonne 70473,NOUN
peintre 70284,NOUN
branche 70257,NOUN
trouble 70272,ADJECTIVE
parlent 70045,VERB,INFLECTED_FORM,SUBJ
rendent 69936,VERB,INFLECTED_FORM,SUBJ
exister 69797,VERB
forment 69762,VERB,INFLECTED_FORM,SUBJ
marques 69476,NOUN,PLURAL
nations 69379,NOUN,PLURAL
sombres 69527,ADJECTIVE
suivent 69255,VERB,INFLECTED_FORM,SUBJ
organes 69204,NOUN,PLURAL
remonte 68678,NOUN
paysans 68910,NOUN,PLURAL
diriger 68531,VERB,HAS_EXAMPLE
chérie 68313,ADJECTIVE
unités 68312,NOUN,PLURAL
pénale 68139,ADJECTIVE
malades 67959,ADJECTIVE
apprend 67653,VERB,3PS,INFLECTED_FORM
magique 67397,ADJECTIVE,HAS_EXAMPLE
abandon 67395,NOUN,HAS_EXAMPLE
réagir 67112,VERB
vivante 67009,ADJECTIVE
relatif 67047,ADJECTIVE,HAS_EXAMPLE
gratuit 66905,ADJECTIVE,HAS_EXAMPLE
acheté 66589,PARTICIPLE
opposé 66453,ADJECTIVE
servait 66266,VERB,3PS,INFLECTED_FORM
fierté 66114,NOUN
adopter 66379,VERB
flammes 65952,NOUN,PLURAL
faisons 66076,VERB,FORM_OF,IMP,INFLECTED_FORM
fromage 65837,NOUN,HAS_EXAMPLE
imposer 66010,VERB,HAS_EXAMPLE
globale 65441,ADJECTIVE
superbe 65272,ADJECTIVE
mention 65105,NOUN
hanches 65366,NOUN,PLURAL
billets 64996,NOUN,PLURAL
prévue 64987,PARTICIPLE
emplois 65025,NOUN,PLURAL
jardins 64934,NOUN,PLURAL
chinois 64831,ADJECTIVE
monstre 64787,ADJECTIVE
majeure 64613,ADJECTIVE
termine 64245,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
miracle 64022,NOUN
pension 63971,NOUN,HAS_EXAMPLE
accords 63915,NOUN,PLURAL
concert 63738,NOUN
antique 63681,ADJECTIVE
retrait 63827,NOUN
souffre 63578,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
