maire 90069,ADJECTIVE
salut 89846,INTERJECTION,HAS_EXAMPLE
jette 89467,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
remis 89394,PARTICIPLE
toile 89232,NOUN
cycle 88999,NOUN,HAS_EXAMPLE
stade 88852,NOUN,HAS_EXAMPLE
jaune 88696,ADJECTIVE,HAS_EXAMPLE
croix 88292,NOUN
fuite 87662,NOUN,HAS_EXAMPLE
bête 87393,ADJECTIVE
allé 87235,PARTICIPLE,HAS_EXAMPLE
poing 86702,NOUN
coupe 85894,NOUN
crée 85256,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
tissu 84744,NOUN
senti 84704,PARTICIPLE
modes 84829,NOUN,PLURAL
noter 84203,VERB,HAS_EXAMPLE
ferai 84040,VERB
foyer 84310,NOUN
pâle 83587,ADJECTIVE
torse 83490,ADJECTIVE
aurez 83454,VERB
serra 83200,VERB,3PS,INFLECTED_FORM
radio 83336,NOUN
noble 82608,ADJECTIVE
hocha 82268,VERB,3PS,INFLECTED_FORM
tapis 81696,NOUN
fleur 81263,NOUN,HAS_EXAMPLE
voile 81177,NOUN,HAS_EXAMPLE
égal 81107,ADJECTIVE
amant 79830,NOUN
chant 79729,NOUN
tours 79659,NOUN,PLURAL
serez 79580,VERB
pensa 79398,VERB,3PS,INFLECTED_FORM
dette 79065,NOUN
fixer 78250,VERB
tante 77790,NOUN,HAS_EXAMPLE
subir 77276,VERB
cents 77067,NOUN,PLURAL
pâte 77000,NOUN,HAS_EXAMPLE
îles 76717,NOUN,PLURAL
crier 76604,VERB
merde 76371,INTERJECTION,HAS_EXAMPLE
mises 76154,PARTICIPLE
honte 76092,NOUN
écho 75982,NOUN
fixé 75826,PARTICIPLE
folle 75671,ADJECTIVE
ailes 75282,NOUN,PLURAL
défi 75084,NOUN
biais 74863,ADJECTIVE
achat 74429,NOUN,HAS_EXAMPLE
forts 74277,ADJECTIVE
proie 73894,NOUN
creux 73068,ADJECTIVE,HAS_EXAMPLE
balle 72715,NOUN,HAS_EXAMPLE
tomba 72313,VERB,3PS,INFLECTED_FORM
tasse 72231,NOUN
total 72306,ADJECTIVE
saisi 71954,ADJECTIVE
seins 71697,NOUN,PLURAL
cible 71558,NOUN,HAS_EXAMPLE
bilan 71263,NOUN,HAS_EXAMPLE
quasi 71147,ADVERB
devra 70947,VERB,3PS,INFLECTED_FORM
soyez 70885,VERB,FORM_OF,HAS_EXAMPLE,IMP,INFLECTED_FORM,SUBJ
nulle 70368,ADJECTIVE
merci 69941,INTERJECTION,HAS_EXAMPLE
plume 69938,NOUN
jambe 69848,NOUN,HAS_EXAMPLE
jeté 69716,NOUN
situe 69008,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
levé 68864,PARTICIPLE
sueur 68996,NOUN
boule 68478,NOUN,HAS_EXAMPLE
mardi 68300,NOUN
lampe 68963,NOUN
jadis 68103,ADVERB
siens 68279,ADJECTIVE
ferma 67770,VERB,3PS,INFLECTED_FORM
mène 67342,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
taire 67267,VERB,HAS_EXAMPLE
verbe 67245,NOUN
corde 67469,NOUN
jugé 66966,ADJECTIVE
voler 66831,VERB,HAS_EXAMPLE
œufs 66283,NOUN,PLURAL
copie 66181,NOUN
pouce 65693,INTERJECTION
